ticker,date,daily_return,return_30d,return_90d,return_180d,return_1y,volatility_30d,volatility_90d,sma50_ratio,sma200_ratio,drawdown,target_30d,target_90d,target_252d,future_date_30d,future_date_90d
TRENT.NS,2020-01-13,-0.0092634638089181,0.0477333845562812,0.1623867874267448,0.5280851659896346,0.5055202870549269,0.2381477593175204,0.3065839817360341,0.0497296048959796,0.2100862334804207,-0.0092634638089181,0.4008616738472819,-0.1516179301494179,0.2001100009166743,2020-02-25,2020-05-28
TRENT.NS,2020-01-14,0.0287835731964432,0.0660144376899696,0.1958444326052211,0.5598332175121612,0.550352258599254,0.2494690672119297,0.3098564435125701,0.0793753991274976,0.2423563480501767,0.0,0.3151563753007218,-0.164483649648044,0.1467522052927026,2020-02-26,2020-05-29
TRENT.NS,2020-01-15,0.0406308473670142,0.1228728006922412,0.295076513639388,0.6207327227310575,0.6446979298690325,0.2691640721148721,0.3085013577410743,0.1210641806603711,0.2898466132829129,0.0,0.25712817878243,-0.130148129120644,0.1303193766589603,2020-02-27,2020-06-01
TRENT.NS,2020-01-16,0.0129291891429059,0.1547096144460713,0.2657821527926385,0.6640877760585173,0.6895172807769208,0.2641508782605312,0.303792393266612,0.1337042708930291,0.3033313722768305,0.0,0.2463229078613695,-0.0912933220625528,0.1458157227387997,2020-02-28,2020-06-02
TRENT.NS,2020-01-17,-0.0001690617075232,0.1776184786937475,0.2798095650292143,0.6654463531399604,0.6923737301473745,0.2542674385764255,0.3029218943776963,0.1311840708472402,0.2998394981749168,-0.0001690617075232,0.237402773080825,-0.0262089956036523,0.1497294555292527,2020-03-02,2020-06-03
TRENT.NS,2020-01-20,0.0150490361853228,0.1928464977645305,0.3035830618892507,0.679160839160839,0.7102564102564102,0.2554895922594545,0.3034003793140538,0.1456041282206399,0.3159315290333011,0.0,0.2093120106613362,-0.0736298517407961,0.1104447776111945,2020-03-03,2020-06-04
TRENT.NS,2020-01-21,-0.0099950024987506,0.1881247500999598,0.2923779493313034,0.6733774461495143,0.6740845070422534,0.2573537702487697,0.3041032207764427,0.1307895167458832,0.2996520156032594,-0.0099950024987506,0.1503449436311628,-0.0252397778899545,0.1113915530876663,2020-03-04,2020-06-05
TRENT.NS,2020-01-22,-0.0136294800605752,0.1760457417995788,0.2866549604916593,0.6480179926904697,0.6739006282124502,0.262194273431292,0.3046927125157719,0.1121904573982865,0.278991817572392,-0.0234882558720638,0.168287273967929,-0.0372739679290344,0.1442340498123506,2020-03-05,2020-06-08
TRENT.NS,2020-01-23,0.0056294779938586,0.1864747911844619,0.291913214990138,0.6110959278491392,0.6647839593335214,0.2608761012546959,0.3047146097931479,0.1147671186248369,0.2830844523139324,-0.017991004497751,0.1769296013570822,-0.0569126378286682,0.1182357930449533,2020-03-06,2020-06-09
TRENT.NS,2020-01-24,-0.0105173876166243,0.1540211692551192,0.2814147627416519,0.518022121014964,0.6405568837013076,0.2627101861423294,0.3054255606363417,0.0995204560191815,0.2664796512132843,-0.0283191737464601,0.1320932624721413,-0.0708040459454825,0.1302074404251672,2020-03-09,2020-06-10
